dtime,wave
2019-06-26 09:00:03,is_survey
2019-06-26 09:00:04,is_task
2019-06-26 09:00:08,task
2019-06-26 09:00:12,task
2019-06-26 09:00:16,task
2019-06-26 09:00:20,task
2019-06-26 09:00:24,study
2019-06-26 09:00:28,task
2019-06-26 09:00:32,task
2019-06-26 09:00:36,task
2019-06-26 09:00:40,is_survey
2019-06-26 09:00:44,task
2019-06-26 09:00:48,study
2019-06-26 09:00:52,task
2019-06-26 09:00:56,is_task
2019-06-26 09:01:00,is_survey
2019-06-26 09:01:04,task
2019-06-26 09:01:08,survey
2019-06-26 09:01:12,task
2019-06-26 09:01:16,is_survey
2019-06-26 09:01:20,task
2019-06-26 09:01:24,task
2019-06-26 09:01:29,study
2019-06-26 09:01:32,study
2019-06-26 09:01:36,is_survey
2019-06-26 09:01:40,survey
2019-06-26 09:01:44,is_task
2019-06-26 09:01:48,task
2019-06-26 09:01:52,task
2019-06-26 09:01:56,task
2019-06-26 09:02:00,survey
2019-06-26 09:02:04,study
2019-06-26 09:02:08,is_task
2019-06-26 09:02:12,study
2019-06-26 09:02:16,study
2019-06-26 09:02:20,is_survey
2019-06-26 09:02:25,study
2019-06-26 09:02:28,task
2019-06-26 09:02:33,task
2019-06-26 09:02:37,task
2019-06-26 09:02:40,task
2019-06-26 09:02:44,is_task
2019-06-26 09:02:48,is_task
2019-06-26 09:02:52,study
2019-06-26 09:09:39,task
2019-06-26 09:09:40,task
2019-06-26 09:09:40,is_task
2019-06-26 09:09:41,study
2019-06-26 09:09:42,survey
2019-06-26 09:09:43,survey
2019-06-26 09:09:43,study
2019-06-26 09:09:44,survey
2019-06-26 09:09:45,task
2019-06-26 09:09:45,is_survey
2019-06-26 09:09:46,task
2019-06-26 09:09:47,task
2019-06-26 09:09:48,study
2019-06-26 09:09:48,is_task
2019-06-26 09:09:49,is_survey
2019-06-26 09:09:50,task
2019-06-26 09:09:51,is_task
2019-06-26 09:09:52,is_task
2019-06-26 09:09:52,study
2019-06-26 09:09:53,is_study
2019-06-26 09:09:54,survey
2019-06-26 09:09:55,is_survey
2019-06-26 09:09:56,survey
2019-06-26 09:09:57,study
2019-06-26 09:09:58,is_survey
2019-06-26 09:09:58,survey
2019-06-26 09:09:59,task
2019-06-26 09:10:00,is_task
2019-06-26 09:10:01,study
2019-06-26 09:10:01,survey
2019-06-26 09:10:02,is_task
2019-06-26 09:10:03,task
2019-06-26 09:10:03,is_task
2019-06-26 09:10:04,survey
2019-06-26 09:10:05,survey
2019-06-26 09:10:05,task
2019-06-26 09:10:06,task
2019-06-26 09:10:06,is_survey
2019-06-26 09:10:07,task
2019-06-26 09:10:08,task
2019-06-26 09:10:08,task
2019-06-26 09:10:09,is_study
2019-06-26 09:10:10,is_study
2019-06-26 09:10:10,study
2019-06-26 09:10:11,is_survey
2019-06-26 09:10:12,study
2019-06-26 09:10:12,task
2019-06-26 09:10:13,survey
2019-06-26 09:10:13,survey
2019-06-26 09:10:14,is_task
2019-06-26 09:10:15,is_survey
2019-06-26 09:10:15,is_study
2019-06-26 09:10:16,study
2019-06-26 09:10:16,task
2019-06-26 09:10:17,task
2019-06-26 09:10:18,task
2019-06-26 09:10:18,task
2019-06-26 09:10:19,study
2019-06-26 09:10:20,survey
2019-06-26 09:10:21,task
2019-06-26 09:10:21,survey
2019-06-26 09:10:22,study
2019-06-26 09:10:23,survey
2019-06-26 09:10:23,task
2019-06-26 09:10:24,task
2019-06-26 09:10:25,task
2019-06-26 09:10:25,is_study
2019-06-26 09:10:26,is_task
2019-06-26 09:10:27,task
2019-06-26 09:10:27,task
2019-06-26 09:10:28,is_survey
2019-06-26 09:10:28,task
2019-06-26 09:10:29,study
2019-06-26 09:10:30,task
2019-06-26 09:10:30,task
2019-06-26 09:10:31,task
2019-06-26 09:10:31,is_task
2019-06-26 09:10:32,is_task
2019-06-26 09:10:33,task
2019-06-26 09:10:33,is_task
2019-06-26 09:10:34,is_study
2019-06-26 09:10:35,is_task
2019-06-26 09:10:35,study
2019-06-26 09:10:36,is_survey
2019-06-26 09:10:37,task
2019-06-26 09:10:38,survey
2019-06-26 09:10:38,survey
2019-06-26 09:10:39,task
2019-06-26 09:10:40,is_study
2019-06-26 09:10:40,is_study
2019-06-26 09:10:41,is_survey
2019-06-26 09:10:42,task
2019-06-26 09:10:42,is_study
2019-06-26 09:10:43,is_task
2019-06-26 09:10:44,task
2019-06-26 09:10:44,is_survey
2019-06-26 09:10:45,is_task
2019-06-26 09:10:46,study
2019-06-26 09:10:46,is_study
2019-06-26 09:10:47,study
2019-06-26 09:10:47,survey
2019-06-26 09:10:48,study
2019-06-26 09:10:49,is_study
2019-06-26 09:10:49,is_survey
2019-06-26 09:10:50,survey
2019-06-26 09:10:51,is_survey
2019-06-26 09:10:52,study
2019-06-26 09:10:52,survey
2019-06-26 09:10:53,study
2019-06-26 09:10:54,is_survey
2019-06-26 09:10:54,is_task
2019-06-26 09:10:55,task
2019-06-26 09:10:55,task
2019-06-26 09:10:56,is_study
2019-06-26 09:10:57,task
2019-06-26 09:10:57,task
2019-06-26 09:10:58,task
2019-06-26 09:10:58,is_study
2019-06-26 09:10:59,is_task
2019-06-26 09:11:00,task
2019-06-26 09:11:00,study
2019-06-26 09:11:01,is_study
2019-06-26 09:11:04,study
2019-06-26 09:11:14,task
2019-06-26 09:11:14,task
2019-06-26 09:11:16,study
2019-06-26 09:11:20,is_task
2019-06-26 09:11:24,task
2019-06-26 09:11:28,is_study
2019-06-26 09:11:32,survey
2019-06-26 09:11:36,study
2019-06-26 09:11:40,study
2019-06-26 09:11:44,study
2019-06-26 09:11:48,task
2019-06-26 09:11:52,task
2019-06-26 09:11:56,task
2019-06-26 09:12:00,is_survey
2019-06-26 09:12:04,survey
2019-06-26 09:12:08,study
2019-06-26 09:12:12,task
2019-06-26 09:12:16,study
2019-06-26 09:12:20,task
2019-06-26 09:12:24,is_task
2019-06-26 09:12:28,survey
2019-06-26 09:12:32,is_survey
2019-06-26 09:12:36,task
2019-06-26 09:12:40,study
2019-06-26 09:12:44,is_task
2019-06-26 09:12:48,task
2019-06-26 09:12:52,study
2019-06-26 09:12:57,task
2019-06-26 09:13:00,task
2019-06-26 09:13:04,is_study
2019-06-26 09:13:08,survey
2019-06-26 09:13:12,task
2019-06-26 09:13:16,is_survey
2019-06-26 09:13:20,is_study
