id,occupation,location,tstamp,treatment,treated_cg,treated_em,did_mc,started_assignment,completed_assignment,time_read,time_check,time_ready,time_assignment,man_check_cgo_correct,man_check_emi_correct,passed_both_mc,sga,da,fvg_market,fvg_model,gains_inv_property,int_exp,tax_exp,dinclude
4TCD1GSYS99NG5AX,Financial Analyst,Europe,2019-06-26 07:30:35,3,TRUE,FALSE,TRUE,TRUE,TRUE,26.2175617218018,13.6552484035492,1.74386548995972,61.2557446956635,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
IMRYMTCETP8H2U3M,Financial Analyst,Europe,2019-06-26 07:36:00,4,TRUE,TRUE,TRUE,TRUE,TRUE,72.9782609939575,15.2359256744385,5.68203902244568,154.0422976017,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
0LF1GWRC82O14RW3,Financial Analyst,Europe,2019-06-26 07:52:57,1,FALSE,FALSE,TRUE,TRUE,TRUE,20.48579454422,17.1284086704254,1.98149037361145,96.0068740844727,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.5
VYOMBVOMBOZO250W,Financial Analyst,Rest of World,2019-06-26 08:08:53,2,FALSE,TRUE,FALSE,FALSE,FALSE,203.66765332222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5PULV6C0ZR4S9S5F,Portfolio Manager,Rest of World,2019-06-26 08:08:50,4,TRUE,TRUE,TRUE,TRUE,TRUE,55.4943776130676,18.1789810657501,2.41764688491821,124.477943181992,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
WYXP3DSWF3AKRP4J,Portfolio Manager,Rest of World,2019-06-26 08:28:01,3,TRUE,FALSE,TRUE,TRUE,TRUE,1.9770941734314,7.03759431838989,1.40296936035156,7.20633816719055,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
ZHQUQKLF9EYY9WPX,Portfolio Manager,Rest of World,2019-06-26 08:26:29,2,FALSE,TRUE,FALSE,FALSE,FALSE,21.873664855957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDG164R5C7A0R0I2,Financial Analyst,Europe,2019-06-26 08:27:26,1,FALSE,FALSE,TRUE,TRUE,FALSE,31.6137771606445,17.859131574630698,4.51148438453674,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
4E3BYM4ZG0JOR7DS,Financial Analyst,Rest of World,2019-06-26 08:34:13,2,FALSE,TRUE,TRUE,TRUE,TRUE,37.3456618785858,11.4942667484283,5.07130694389343,105.448915243149,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
566E6VY776RU1XQM,Financial Analyst,Europe,2019-06-26 09:19:06,1,FALSE,FALSE,TRUE,TRUE,TRUE,886.026366233826,20.2393543720245,4.50371313095093,187.251962900162,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-1
